Name;hydrogen_economy;hydrogen_niche;midway;hydrogen_economy_import_case;midway_import_case;midway_import_case_lowest;Unit;Description;Source;;;;;
;;;;;;;;Industry;;;;;;
hydrogen_demand_shipping;1137000.0000000000000000000;200000.0000000000000000000;700000.0000000000000000000;1137000.00000000000000000000000000000000000000;700000.00000000000000000000000000000000000000;700000.00000000000000000000000000000000000000;MWh;Hydrogen demand;Notter & Schmied 2015, LNG Masterplan for Rhine-Main-Danube et al., 2015;;;;;
;;;;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;;Aviation;;;;;;
entry_into_service;2030.0000000000000000000;2040.0000000000000000000;2035.0000000000000000000;2030.00000000000000000000000000000000000000;2035.00000000000000000000000000000000000000;2035.00000000000000000000000000000000000000;year;Entry into service;(Clean Sky 2 JU & FCH 2 JU, 2020);;;;;
aircraft_renewal;0.3500000000000000000;0.2000000000000000000;0.2800000000000000000;0.35000000000000000000000000000000000000;0.28000000000000000000000000000000000000;0.28000000000000000000000000000000000000;share;Aircraft renewal percentage  (2050-entry into service see sheet 2;(Janic, 2008);;;;;
pen_share_aviation_short_range;1.0000000000000000000;0.5000000000000000000;1.0000000000000000000;1.00000000000000000000000000000000000000;1.00000000000000000000000000000000000000;1.00000000000000000000000000000000000000;share;Penetration share new aircraft short-range;(Clean Sky 2 JU & FCH 2 JU, 2020);;;;;
pen_share_aviation_medium_range;1.0000000000000000000;0.5000000000000000000;0.5000000000000000000;1.00000000000000000000000000000000000000;0.50000000000000000000000000000000000000;0.50000000000000000000000000000000000000;share;Penetration share new aircraft medium-range;(Clean Sky 2 JU & FCH 2 JU, 2020);;;;;
pen_share_aviation_longer_range;1.0000000000000000000;0.0000000000000000000;0.0000000000000000000;1.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;share;Penetration share new aircraft longer-range;(Clean Sky 2 JU & FCH 2 JU, 2020);;;;;
increase_aviation;1.5300000000000000000;1.5300000000000000000;1.5300000000000000000;1.53000000000000000000000000000000000000;1.53000000000000000000000000000000000000;1.53000000000000000000000000000000000000;share;Aviation market increase compared to 2019 (precovid), then added to 2022 to balance between covid and non covid effects;SFOE, 2020 Energieperspektiven 2050+ Technischer Bericht;;;;;
efficiency_increase_aviation;0.5100000000000000000;0.8000000000000000000;0.5100000000000000000;0.51000000000000000000000000000000000000;0.51000000000000000000000000000000000000;0.51000000000000000000000000000000000000;share;Aviation efficiency increase, same as market increase approach, for optimistic scneario take ZERO, for pessimistic take WWB (51% of original demand);SFOE, 2020 Energieperspektiven 2050+ Technischer Bericht;;;;;
liquefaction_electricity_demand;0.2100000000000000000;0.3300000000000000000;0.2700000000000000000;0.21000000000000000000000000000000000000;0.27000000000000000000000000000000000000;0.27000000000000000000000000000000000000;share of H2 LHV;Liquefaction additional energy demand;(Peschel, 2020);;;;;
swiss_share_basel_mulhouse;1.0000000000000000000;0.5000000000000000000;0.7700000000000000000;1.00000000000000000000000000000000000000;0.77000000000000000000000000000000000000;0.77000000000000000000000000000000000000;share;Share of Basel-Mulhouse supplied by Switzerland;(EuroAirport, 2023);;;;;
;;;;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;;Industrial heating;;;;;;
market_increase_refinery_operations;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;0.00000000000000000000000000000000000000;;NOGA: 19;2050 + scenario;;;;;
market_increase_manufacture_of_basic_metals;-0.2000000000000000000;-0.2000000000000000000;-0.2000000000000000000;-0.20000000000000000000000000000000000000;-0.20000000000000000000000000000000000000;-0.20000000000000000000000000000000000000;;24;2050 + scenario;;;;;
market_increase_pharma_industry;-0.0600000000000000000;-0.0600000000000000000;-0.0600000000000000000;-0.06000000000000000000000000000000000000;-0.06000000000000000000000000000000000000;-0.06000000000000000000000000000000000000;;21;2050 + scenario;;;;;
